1,1,The first manned Moon landing occurred in July of which year?,"The first manned Moon landing occurred on July 20th, 1969 during the Apollo 11 mission.",1969,1959,1979
1,1,How many missions was Space Shuttle Endeavour involved in in its lifetime?,Endeavour flew 25 missions into space between 1992 and 2011. The shuttle was retired at the California Science Center in Los Angeles in October 2012.,25,19,22
1,1,What was the name of first rover NASA successfully landed on Mars?,"Sojourner was the first NASA robotic rover successfully landed and operated on Mars. It was launched on December 4th, 1996, aboard the Mars Pathfinder craft and landed on July 4th, 1997.",Sojourner,Voyager,Curiosity
1,1,Which was the first NASA spacecraft to take close-up photographs of Mars?,"Mariner 4 flew past Mars on July 14th, 1965, providing the first close-up photographs of the red planet to Earth.",Mariner 4,Mars 4,Mars Global Surveyor
1,1,How long did it take the space probe Voyager 2 to reach Neptune?,"Voyager 2 reached Neptune in 1989, 12 years after its 1977 launch, during its mission to study the outer Solar System.",12 years,8 years,20 years
1,1,What landing technique differentiates Curiosity from previous NASA Mars rovers?,"The Curiosity rover was too heavy to land on air bags, as previous rovers had. After an initial parachute-assisted decent, Curiosity was lowered onto the surface of Mars by a jet-powered sky crane.","The use of a ""sky crane""",The use of air bags,The use of multiple parachutes
1,1,What was the name of NASA’s first human spaceflight program?,"Project Mercury, NASA's first human spaceflight program, launched in 1958.",Project Mercury,Project Copernicium,Apollo
1,1,What was the name of the first animal successfully returned from a mission to space?,A chimpanzee named Ham was launched into space and safely returned to Earth as part of NASA’s Mercury mission.,Ham,Laika,Astro
1,1,What was the name of the first animal to travel into space?,A dog named Laika was launched into space aboard the Soviet spacecraft Sputnik 2 in 1957.,Laika,Spot,Scout
1,1,Who was the first human to travel to space?,"Soviet cosmonaut Yuri Gagarin became the first human to travel into space aboard a Vostok spacecraft on April 12, 1961.",Yuri Gagarin,Neil Armstrong,Michael Collins
1,1,Who was the first American to travel to space?,"Alan Shepard, Jr. became the first American in space on May 5, 1961. He flew aboard the Freedom 7 spacecraft on the Mercury-Redstone 3 mission for 15 minutes.",Alan Shepard Jr,Michael Collins,Buzz Aldrin
1,1,"Which US President announced his intent to put a man on the Moon, sparking NASA’s Gemini and Apollo missions?","On May 25, 1961, President John F. Kennedy announced his intent to put a man on the Moon by the end of the decade.",John F. Kennedy,Lyndon B. Johnson,Richard Nixon
1,1,Who was the first American to orbit the Earth?,"In February of 1962, John Glenn became the first American to orbit the Earth aboard Friendship 7 on the Mercury-Atlas 6 mission. The spacecraft circled the Earth three times during a flight lasting 4 hours and 55 minutes.",John Glenn,Malcolm Carpenter,Walter Schirra Jr
1,1,Which early Soviet spacecraft first discovered the Moon’s lack of a magnetic field.,"In January of 1959, Soviet spacecraft Luna 1 was the first to detect that, unlike the Earth, the Moon does not have a magnetic field.",Luna 1,Kosmos 1,Sputnik 2
1,1,Which spacecraft was the first to land on the Moon’s surface?,"The spacecraft Luna 2 collided with the Moon’s surface in 1959, becoming the first spacecraft to land on the Moon.",Luna 2,Soyuz A,Luna 1
1,1,What was the name of the NASA mission that sent spacecraft to photograph the Moon during descent to the surface?,"NASA’s Ranger missions sent spacecraft on a collision course with the Moon with the intention of taking pictures during the descent. Ranger 7 captured over 4,000 images before impact with the Moon’s surface.",Ranger,Voyager,Surveyor
1,1,What was the name of the first spacecraft to safely land on the surface of the Moon and return photographs to Earth.,"On February 3, 1966, the Soviet spacecraft Luna 9 safely landed on the Moon and was able to capture a panoramic image of the surface.",Luna 9,Luna 1,Surveyor 1
1,1,Which spacecraft is NASA developing with the intention of returning humans to the Moon?,"Similar to the Apollo missions, the Orion Crew Exploration Vehicle is a capsule-style spacecraft designed to be launched by rocket.",The Orion Crew Exploration Vehicle,The Lunar Exploration Vehicle,The Space Exploration Module
1,1,What is the name of the orbital telescope set to replace the Hubble Space Telescope?,"As Hubble nears the end of its life, the James Webb Space Telescope is scheduled for launch in 2013.",The James Webb Space Telescope,The International X-ray Observatory,The Laser Interferometer Space Antenna
1,1,"Orbital telescopes, such as the Hubble Space Telescope, capture images without distortion from what?",Orbital telescopes are able to capture images without distortion caused by air pockets in the Earth’s atmosphere.,The Earth’s atmosphere,Ambient temperature,Warped lenses
1,1,Which NASA mission was the first to return samples from a comet to Earth?,"In 2004, NASA's Stardust flew past the comet Wild 2, trapping particles from the comet as well as interstellar dust.",Stardust,Genesis,Hayabusa
1,1,"Which internationally-supported mission aims to explore Saturn and its moon, Titan?","The Cassini-Huygens mission utilizes the resources of NASA, the European Space Agency, and the Italian Space Agency to gather information about Saturn and Titan.",Cassini-Huygens,Galileo,New Horizons
1,1,Which spacecraft was the first to pass through the asteroid belt between Mars and Jupiter?,"Launched in March of 1972, Pioneer 10 reached Jupiter in 1973, where it captured close-up images as well as data on the planet’s radiation and magnetic field levels.",Pioneer 10,Voyager 1,Cassini-Huygens
1,1,Which spacecraft has travelled furthest from Earth since its launch?,"Launched in 1977, Voyager 1 is now over 9 billion miles away from Earth and is set to become the first human-made object to reach interstellar space.",Voyager 1,Voyager 2,Cassini-Huygens
1,1,Which space shuttle flew the final space mission of NASA’s space shuttle program?,"The final mission of the space shuttle program ended when Space Shuttle Atlantis landed at Kennedy Space Center on July 21, 2011.",Atlantis,Discovery,Endeavour
1,1,Which NASA space shuttle was the first to dock at the Russian space station Mir?,The space shuttle Atlantis successfully docked at the Russian space station Mir in 1995.,Atlantis,Endeavour,Discovery
1,1,Which of NASA’s space shuttles was responsible for placing the Hubble Space Telescope into orbit?,"Astronauts aboard Space Shuttle Discovery placed the Hubble Space Telescope into orbit on April 24th, 1990.",Discovery,Atlantis,Endeavour
1,1,In what year did NASA launch the first space shuttle?,"On April 12, 1981, John Young and Robert Crippen launched the space shuttle program by piloting Columbia to space and returning successfully two days later.",1981,1971,1991
1,1,Who was the first woman to travel into space?,"On June 16th, 1963, Valentina Tereshkova became the first woman in space aboard the Soviet spacecraft Vostok 6.",Valentina Tereshkova,Svetlana Savitskaya,Sally Ride
1,1,Who was the first American woman to travel into space?,"In 1983, space shuttle astronaut Sally Ride became the first American woman in space as part of the Challenger crew.",Sally Ride,Kathryn D. Sullivan,Shannon Lucid
1,1,Which in-development NASA project aims to provide a vehicle for human space exploration beyond Earth’s orbit?,"Currently in development, NASA’s Space Launch System is an advanced heavy-lift launch vehicle designed to facilitate human space exploration beyond Earth's orbit.",The Space Launch System,The Space Exploration System,The Space Lift
1,1,Which was the first Apollo mission to carry a Lunar Roving Vehicle?,"Also known as Moon buggies, Lunar Roving Vehicles were sent to the Moon aboard Apollo 15, 16 and 17 in 1971 and 1972.",Apollo 15,Apollo 11,Apollo 12
1,1,What is the name of the Earth-orbiting laboratory built in collaboration by sixteen nations?,The International Space Station has provided a human outpost in space 386 kilometers above the Earth since November of 2000.,The International Space Station,The Global Space Station,Space Station 1
1,1,What was the name of the first NASA spacecraft to successfully land on the surface of the Moon?,"On June 2, 1966, NASA’s spacecraft Surveyor 1 safely landed on the Moon. Surveyor 1 sent over 11,000 photographs of the Lunar surface back to Earth.",Surveyor 1,Ranger 1,Luna 1
1,1,What is the name of the International Space Station’s Canadian-built robotic arm?,"Canadarm2 is a large, remote-controlled arm used to maneuver objects outside of the space station, as well as to assist with station assembly and maintenance.",Canadarm2,Roboarm2,The Maple Reach
